,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"beta_station[Tiantan, lag_logpm25_z]",1.002457405784009,0.7291809510615248,0.27582622889678066,1.8280080526702316,2.5466408612487608,2.0107238605898123,2.2344380284617267,0.5129053098634352,0.04393518913960265
"beta_station[Tiantan, sin_doy]",0.6514716112125227,0.8908616755506845,-0.2366041358401322,1.6529527112916391,2.5421689698124137,2.0107238605898123,2.237167206621873,0.62681512639537,0.04942294710560163
"beta_station[Tiantan, cos_doy]",1.2794447865411012,1.9057173953254725,-0.619855704561869,3.4539422604919765,2.5449506103590784,2.0107238605898123,2.232356687085995,1.3406345243735847,0.11119193241703026
"beta_station[Wanliu, TEMP_z]",-1.0640913741337479,0.8972021852436685,-2.1659293350922044,-0.17507819336663838,2.548861339849177,17.485071678924815,2.2330774834334304,0.6281796408505295,0.08585984391953214
"beta_station[Wanliu, PRES_z]",-0.2392525771069581,0.5207990241777516,-0.8645854473701466,0.277089559095268,2.5438222924576532,15.705818047136182,2.2327844929691647,0.36485102163409044,0.048130576935423046
"beta_station[Wanliu, DEWP_z]",1.6699295295689307,1.823375625604514,-0.1498150395279005,3.6837404595221552,2.5497608122293,2.0107238605898123,2.2353795928912312,1.2840610641131698,0.08102449196118686
"beta_station[Wanliu, WSPM_z]",-0.6769016748553711,0.6675041180779959,-1.480279668949896,-0.014407750009332122,2.536022430625006,16.92353343180156,2.234217559203342,0.468064134990765,0.059749103803057355
"beta_station[Wanliu, RAIN_z]",0.5837253959396866,1.3245107143201098,-0.9591267057841973,1.9009335279758277,2.5420230750284643,16.885928830366037,2.2319017871579807,0.930194301887957,0.1004041274533418
"beta_station[Wanliu, lag_logpm25_z]",1.6965975025961992,0.06973706865975884,1.6345335976130326,1.8334400783947151,10.33836819506919,2.8376270337136194,2.2320262011252123,0.02491708180049454,0.028933878002989882
"beta_station[Wanliu, sin_doy]",0.3555872655896247,1.1861075491939903,-0.8285369082180134,1.6554444167457005,2.5420493410908644,2.0107238605898123,2.236665837489579,0.8355023353767961,0.04859684302937172
"beta_station[Wanliu, cos_doy]",1.3377009471500774,1.8522647655633193,-0.5078144896822411,3.4568331320315404,2.543155306471754,2.0107238605898123,2.233142176329933,1.3027127422022309,0.11199368875514343
"beta_station[Wanshouxigong, TEMP_z]",-1.1034571046596333,0.8698285018855423,-2.191975385942537,-0.24304714562592045,2.546584645255714,17.29342713601489,2.23172283109482,0.6082227064936137,0.09004618702454403
"beta_station[Wanshouxigong, PRES_z]",0.029676680150937274,0.7532598759855603,-0.8420505674923392,0.7794498908514533,2.538788298502136,16.05964520038153,2.2345169295195344,0.529378021926881,0.04938673583610459
"beta_station[Wanshouxigong, DEWP_z]",1.920314719370171,1.5806262463854641,0.3439436662369282,3.696070631054034,2.5473705962634496,2.0107238605898123,2.2336678973815363,1.1125015454470668,0.08149766666146105
"beta_station[Wanshouxigong, WSPM_z]",-0.9027181208737907,0.48443389045521495,-1.5416792002871238,-0.4270878416743711,2.544777144500763,16.11504445014035,2.232506682223112,0.33677770832899495,0.07225397568710559
"beta_station[Wanshouxigong, RAIN_z]",-0.5759506759764419,0.3331308770899999,-1.1743008742291747,-0.2920931415785791,2.557013707962927,18.246437614682925,2.2319542846984954,0.20647766626002664,0.14562450710064426
"beta_station[Wanshouxigong, lag_logpm25_z]",0.9741444668608429,0.7187011454942532,0.2578511319527974,1.7806944657216366,2.5527515171910884,2.0107238605898123,2.2328420681384675,0.5055867955752716,0.040048168104338824
"beta_station[Wanshouxigong, sin_doy]",0.5943566979387641,0.9143304865021472,-0.3170010718687524,1.6285524471352868,2.541638586384149,2.0107238605898123,2.238126480641396,0.6432582001368495,0.05161442264383233
"beta_station[Wanshouxigong, cos_doy]",1.407425653571959,1.7958157233555885,-0.3814164363752883,3.469379722044957,2.5412711555818155,2.0107238605898123,2.233527292549315,1.26277902130992,0.1127683198296908
